group,model,train_acc_pct,val_acc_pct,test_acc_pct,train_loss,val_loss,test_loss,train_time_sec
MLP,MLP1,98.27235019628175,96.8812541694463,97.28,0.0617829699925463,0.10743419795214454,0.08961479219160974,22.929217082972173
MLP,MLP2,99.07414265609955,97.59839893262175,97.84,0.031326907622943094,0.07681589670543912,0.07231856542117894,21.215856291004457
CNN,CNN1,99.50559217835716,98.96597731821214,99.07000000000001,0.015896973462342007,0.03969463784299826,0.029234099520370364,39.07275699998718
CNN,CNN2,99.46855788460114,98.79919946631087,98.97,0.01699324375597648,0.04178444034431759,0.03099570143176243,77.00304137502098
CNN,CNN3,99.68335678838605,98.98265510340227,99.13,0.012028076554830758,0.03723646812215497,0.024521227368339896,66.09026800002903
