step,A1,A2,A3,B1,B2,C1,C2,total
1,2,1,3,0,0,0,3,9
2,2,2,3,0,0,0,3,10
3,3,2,3,1,0,1,3,13
4,3,2,3,1,0,1,3,13
5,3,2,3,1,1,1,3,14
6,3,2,3,1,1,1,3,14
7,3,2,3,1,1,1,3,14
8,3,2,3,1,1,1,3,14
9,3,2,3,1,1,1,3,14
10,3,2,3,1,1,1,3,14
11,2,1,2,1,1,1,3,11
12,2,1,2,1,1,1,3,11
13,2,1,2,1,1,1,3,11
14,1,0,1,1,1,1,3,8
15,1,0,1,1,1,1,3,8
16,1,0,1,1,1,1,3,8
17,1,0,1,1,1,1,3,8
18,1,0,1,1,1,1,3,8
19,1,0,1,1,1,1,3,8
20,1,0,1,1,1,1,3,8
21,1,0,1,1,1,1,3,8
22,1,0,1,1,1,1,3,8
23,1,0,1,1,1,1,3,8
24,1,0,1,0,0,1,2,5
25,1,0,1,0,0,1,2,5
26,1,0,1,0,0,1,2,5
27,1,0,1,0,0,1,1,4
28,1,0,1,0,0,1,1,4
29,1,0,1,0,0,1,1,4
30,1,0,1,0,0,1,0,3
31,1,0,1,0,0,1,0,3
32,1,0,1,0,0,1,0,3
33,1,0,2,0,1,1,1,6
34,2,1,2,0,1,1,1,8
35,2,1,2,1,1,1,1,9
36,2,1,2,1,1,1,1,9
37,2,1,2,1,1,1,1,9
38,2,2,2,1,1,1,1,10
39,2,2,2,1,1,1,1,10
40,2,2,3,1,1,0,1,10
41,3,2,3,1,1,0,1,11
42,3,3,3,1,1,0,1,12
43,3,3,3,1,1,0,1,12
44,3,3,3,1,1,0,1,12
45,3,3,3,1,1,0,1,12
46,3,3,3,1,1,0,1,12
47,3,4,3,1,1,0,1,13
48,3,4,4,1,1,0,1,14
49,4,4,4,1,1,0,1,15
50,3,3,3,1,1,0,1,12
51,3,4,3,1,1,0,1,13
52,3,4,3,1,1,0,1,13
53,2,3,2,1,1,0,1,10
54,2,3,2,1,1,0,1,10
55,2,3,3,1,1,0,1,11
56,2,4,3,1,1,0,1,12
57,3,4,3,1,1,0,1,13
58,3,4,3,1,1,0,1,13
59,3,4,3,1,1,0,1,13
60,3,5,3,1,1,0,1,14
61,3,5,3,1,1,0,1,14
62,3,5,3,1,1,0,1,14
63,3,5,4,0,0,0,1,13
64,4,5,4,0,0,0,1,14
65,4,6,4,0,0,0,1,15
66,4,6,4,0,0,0,0,14
67,4,6,4,0,0,0,0,14
68,4,6,4,0,0,0,0,14
69,4,6,4,0,1,0,0,15
70,4,7,5,0,1,0,0,17
71,4,7,5,1,1,0,0,18
72,5,7,5,1,1,0,0,19
73,5,7,5,1,1,1,0,20
74,5,7,5,1,1,1,0,20
75,5,8,5,1,1,1,0,21
76,5,8,5,1,1,1,0,21
77,5,8,6,1,1,1,0,22
78,5,8,6,1,0,1,0,21
79,6,8,6,1,0,1,0,22
80,6,9,6,1,0,1,0,23
81,6,9,6,1,0,1,0,23
82,6,9,6,1,0,1,0,23
83,6,9,6,1,0,1,0,23
84,6,10,6,1,0,1,0,24
85,7,10,7,1,0,1,0,26
86,7,10,7,1,0,1,0,26
87,7,10,7,1,0,1,0,26
88,7,10,7,1,0,1,0,26
89,6,10,6,1,0,1,0,24
90,6,10,6,1,0,1,0,24
91,6,10,6,1,0,1,0,24
92,5,9,5,1,0,1,0,21
93,6,9,5,1,0,1,0,22
94,6,10,6,1,0,1,0,24
95,6,10,6,1,0,1,1,25
96,6,10,6,1,0,1,1,25
97,6,10,6,1,0,1,1,25
98,6,10,6,1,0,1,1,25
99,6,11,6,1,0,1,1,26
100,6,11,6,1,0,1,1,26
101,7,11,7,2,1,2,1,31
102,7,11,7,1,1,2,1,30
103,7,11,7,1,1,2,1,30
104,7,12,7,1,1,2,0,30
105,7,12,7,0,1,2,0,29
106,7,12,7,0,1,2,0,29
107,7,12,7,0,1,2,0,29
108,8,13,8,0,1,2,0,32
109,8,13,8,0,1,2,0,32
110,8,13,8,0,0,2,0,31
111,8,13,8,0,0,2,0,31
112,8,13,8,0,0,2,0,31
113,8,14,8,0,0,2,0,32
114,8,14,8,0,0,2,0,32
115,8,14,8,0,0,1,0,31
116,8,14,8,0,0,1,0,31
117,8,14,8,0,0,1,0,31
118,8,14,8,0,0,0,0,30
119,8,14,8,0,0,0,0,30
120,8,14,8,0,0,0,0,30
121,8,14,8,0,0,0,0,30
122,8,14,8,0,0,0,0,30
123,9,14,9,0,0,0,0,32
124,9,14,9,0,0,0,0,32
125,9,14,9,0,0,0,1,33
126,9,14,9,0,0,0,1,33
127,9,14,9,0,0,0,1,33
128,8,13,8,0,0,0,1,30
129,8,13,8,0,0,0,1,30
130,8,13,8,0,0,0,1,30
131,7,12,7,0,0,0,1,27
132,7,12,7,0,0,0,1,27
133,7,12,7,1,1,1,1,30
134,7,12,7,1,1,1,1,30
135,7,12,7,1,1,1,1,30
136,7,12,7,1,1,1,1,30
137,7,12,7,1,1,1,1,30
138,7,12,7,1,1,1,1,30
139,7,12,7,1,1,1,1,30
140,7,12,7,1,1,1,1,30
141,7,12,7,1,1,1,0,29
142,7,12,7,0,0,1,0,27
143,7,13,7,0,0,1,0,28
144,7,13,7,0,0,1,0,28
145,7,13,7,0,0,1,0,28
146,7,13,7,0,0,1,0,28
147,7,13,7,0,0,1,0,28
148,7,13,7,0,0,1,0,28
149,7,13,7,0,0,1,0,28
150,7,13,7,0,0,1,0,28
