step,A1,A2,A3,B1,B2,C1,C2,total
1,1,1,2,0,2,2,3,11
2,1,1,2,0,2,2,3,11
3,1,1,2,1,3,2,3,13
4,2,1,3,1,3,2,3,15
5,2,2,3,1,3,2,3,16
6,2,2,3,1,3,2,3,16
7,2,2,3,1,3,2,3,16
8,2,2,3,1,3,2,3,16
9,2,2,3,1,3,2,3,16
10,2,2,3,1,3,2,3,16
11,1,1,2,1,3,2,3,13
12,1,1,2,1,3,2,3,13
13,1,1,2,1,3,2,3,13
14,0,0,1,1,3,2,3,10
15,0,0,1,1,3,2,3,10
16,0,0,1,1,3,2,3,10
17,0,0,1,1,3,2,3,10
18,0,0,1,1,3,2,3,10
19,0,0,1,1,3,2,3,10
20,0,0,1,1,3,2,3,10
21,0,0,1,1,3,2,3,10
22,0,0,1,1,3,2,3,10
23,0,0,1,1,3,2,3,10
24,0,0,1,0,2,2,2,7
25,0,0,1,0,2,2,2,7
26,0,0,1,0,2,2,2,7
27,0,0,1,0,1,2,1,5
28,0,0,1,0,1,2,1,5
29,0,0,1,0,1,2,2,6
30,0,0,1,0,0,2,1,4
31,0,0,1,1,0,2,1,5
32,0,0,1,1,0,2,1,5
33,0,1,1,1,0,2,0,5
34,1,1,2,1,0,2,0,7
35,1,1,2,1,1,2,0,8
36,1,1,2,1,1,3,0,9
37,1,1,2,1,1,2,0,8
38,1,1,2,1,1,2,1,9
39,1,1,2,1,1,2,1,9
40,1,1,2,1,1,1,1,8
41,1,1,2,1,1,1,2,9
42,1,1,2,1,1,1,2,9
43,1,1,2,1,1,1,2,9
44,1,1,2,1,1,2,3,11
45,1,1,2,1,1,2,3,11
46,1,1,2,1,1,2,3,11
47,1,1,2,1,1,2,4,12
48,1,1,2,1,1,2,4,12
49,1,1,2,1,1,2,4,12
50,0,0,1,1,1,2,5,10
51,0,0,1,1,1,2,5,10
52,0,0,1,1,1,3,5,11
53,0,0,0,1,1,3,6,11
54,0,0,0,1,1,3,6,11
55,0,0,0,1,1,3,6,11
56,0,0,0,1,1,3,7,12
57,0,0,0,1,1,3,7,12
58,0,0,0,1,1,3,7,12
59,0,0,0,1,1,4,7,13
60,0,0,0,1,1,4,8,14
61,0,0,0,1,1,4,8,14
62,0,0,0,1,1,4,8,14
63,0,1,0,1,1,4,8,15
64,0,1,0,1,1,4,8,15
65,0,1,0,1,1,4,8,15
66,0,1,0,0,0,5,8,14
67,0,1,0,0,0,5,8,14
68,0,1,1,0,0,5,8,15
69,0,1,1,0,0,5,7,14
70,1,1,1,0,0,5,8,16
71,1,1,1,0,0,5,8,16
72,1,1,1,0,0,5,7,15
73,1,1,1,0,0,6,8,17
74,1,1,1,0,0,6,8,17
75,1,1,1,0,0,6,7,16
76,1,1,1,0,0,5,8,16
77,1,1,1,0,0,5,8,16
78,1,1,1,0,0,5,7,15
79,1,1,1,0,0,4,7,14
80,1,1,1,0,0,4,8,15
81,1,1,1,0,0,5,8,16
82,1,1,1,0,0,5,8,16
83,1,1,1,0,0,5,8,16
84,1,1,1,0,0,5,9,17
85,1,1,1,0,0,5,9,17
86,1,1,1,0,0,5,9,17
87,1,1,1,0,0,5,9,17
88,1,1,1,0,0,6,10,19
89,0,0,0,0,0,6,10,16
90,0,0,0,0,0,6,10,16
91,0,1,0,0,0,6,11,18
92,0,1,0,0,0,6,11,18
93,0,1,0,1,0,6,11,19
94,0,1,0,1,0,6,12,20
95,0,1,0,1,0,7,12,21
96,0,1,0,1,0,7,12,21
97,0,1,0,1,1,7,12,22
98,0,1,0,1,1,7,13,23
99,0,1,0,1,1,7,13,23
100,0,1,1,1,1,7,13,24
101,0,1,1,1,1,7,14,25
102,0,1,1,0,1,7,13,23
103,0,1,1,0,1,8,13,24
104,1,1,1,0,1,8,13,25
105,1,1,1,0,1,8,12,24
106,1,1,1,0,0,8,12,23
107,1,1,1,0,0,8,12,23
108,1,1,1,0,0,8,12,23
109,1,1,1,0,0,8,12,23
110,1,1,1,0,0,8,12,23
111,1,1,1,0,0,8,11,22
112,1,1,1,0,0,8,11,22
113,1,1,1,0,0,8,11,22
114,1,1,1,0,0,8,10,21
115,1,1,1,0,0,7,10,20
116,1,1,1,0,0,7,10,20
117,1,1,1,0,0,7,9,19
118,1,1,1,0,0,6,9,18
119,1,1,1,0,0,6,9,18
120,1,1,1,0,0,6,9,18
121,1,1,1,0,0,6,9,18
122,1,1,1,0,0,6,9,18
123,1,1,1,0,0,6,9,18
124,1,1,1,0,0,6,9,18
125,1,2,1,1,1,6,9,21
126,1,2,1,1,1,6,9,21
127,1,2,1,1,1,6,9,21
128,0,1,0,1,1,6,9,18
129,0,1,0,1,1,6,9,18
130,0,1,0,1,1,6,9,18
131,0,0,0,1,1,6,9,17
132,0,0,0,1,1,6,9,17
133,0,0,0,1,1,6,9,17
134,0,0,0,1,1,6,9,17
135,0,0,0,1,1,6,9,17
136,0,0,1,1,1,7,9,19
137,0,0,1,1,1,7,9,19
138,0,0,1,1,1,7,10,20
139,0,0,1,1,1,7,10,20
140,1,0,1,1,1,7,10,21
141,1,0,1,0,0,7,9,18
142,1,0,1,0,0,7,9,18
143,1,0,1,0,0,7,9,18
144,1,0,1,0,0,7,8,17
145,1,0,1,0,0,7,8,17
146,1,0,1,0,0,7,8,17
147,1,0,1,0,0,7,7,16
148,1,0,1,0,0,7,7,16
149,1,0,1,0,0,7,7,16
150,1,0,1,0,0,7,6,15
151,1,0,1,0,0,7,6,15
152,1,0,1,0,0,7,6,15
153,1,0,1,0,0,7,5,14
154,1,0,1,0,0,6,5,13
155,1,0,1,0,0,6,5,13
156,1,0,1,0,0,6,4,12
157,1,0,1,0,0,5,4,11
158,1,0,1,0,0,5,4,11
159,1,0,1,1,1,5,4,13
160,1,0,1,1,1,5,4,13
161,1,1,1,1,1,5,4,14
162,1,1,1,1,1,5,4,14
163,1,1,1,1,1,5,4,14
164,1,1,1,1,1,5,4,14
165,1,1,1,1,1,5,4,14
166,1,1,1,1,1,5,5,15
167,0,1,0,1,1,5,5,13
168,0,1,0,1,1,6,5,14
169,0,1,0,1,1,6,5,14
170,0,0,1,1,1,6,5,14
171,0,0,1,1,1,6,5,14
