step,A1,A2,A3,B1,B2,C1,C2,total
1,1,1,2,2,1,0,0,7
2,1,1,2,2,1,1,0,8
3,2,1,3,2,2,1,0,11
4,2,1,3,2,2,1,0,11
5,2,2,3,3,2,1,1,14
6,2,2,3,3,2,1,1,14
7,2,2,3,3,2,1,1,14
8,2,2,3,3,2,1,1,14
9,2,2,3,3,2,1,1,14
10,2,2,3,3,2,1,1,14
11,1,1,2,3,2,1,1,11
12,1,1,2,3,2,1,1,11
13,1,1,2,3,2,1,1,11
14,0,0,1,3,2,1,1,8
15,0,0,1,3,2,1,1,8
16,0,0,1,3,2,1,1,8
17,0,0,1,3,2,1,1,8
18,0,0,1,3,2,1,1,8
19,0,0,1,3,2,1,1,8
20,0,0,1,3,2,1,1,8
21,0,0,1,3,2,1,1,8
22,0,0,1,3,2,1,1,8
23,0,0,1,3,2,1,1,8
24,0,0,1,2,1,1,0,5
25,0,0,1,2,1,1,0,5
26,0,0,1,2,1,1,0,5
27,0,0,1,1,0,1,0,3
28,0,0,1,1,0,1,0,3
29,0,0,1,1,0,1,0,3
30,0,0,1,1,0,2,0,4
31,0,0,2,1,0,2,0,5
32,0,0,2,1,0,2,0,5
33,0,0,2,1,1,2,1,7
34,0,0,2,1,1,2,1,7
35,0,0,2,2,1,2,1,8
36,0,0,2,2,1,2,1,8
37,1,1,2,2,1,1,1,9
38,1,1,2,2,2,1,1,10
39,1,1,2,2,2,1,1,10
40,1,1,2,3,2,0,1,10
41,1,1,2,3,2,0,1,10
42,1,1,2,3,2,0,1,10
43,1,1,2,3,3,0,1,11
44,1,1,2,3,3,0,1,11
45,1,1,2,4,3,0,1,12
46,1,1,2,4,3,0,1,12
47,1,1,2,4,4,0,1,13
48,1,1,2,4,4,0,1,13
49,1,1,2,4,4,0,1,13
50,0,0,1,5,4,0,1,11
51,0,0,1,5,4,0,1,11
52,0,0,1,5,5,0,1,12
53,0,0,0,5,5,0,1,11
54,0,0,0,6,5,0,1,12
55,0,0,0,6,5,0,1,12
56,0,0,0,6,5,0,1,12
57,0,0,0,6,6,0,1,13
58,0,0,0,6,6,0,1,13
59,0,0,0,7,6,0,1,14
60,0,0,0,7,6,0,1,14
61,0,0,0,7,6,0,1,14
62,0,0,0,7,7,0,1,15
63,0,0,1,7,6,0,0,14
64,0,0,1,7,6,0,0,14
65,0,0,1,7,6,0,0,14
66,0,0,1,6,6,1,0,14
67,0,0,1,7,6,1,1,16
68,0,0,1,7,6,1,1,16
69,1,1,1,7,5,1,1,17
70,1,1,1,7,6,1,1,18
71,1,1,1,7,6,1,1,18
72,1,1,1,8,5,1,1,18
73,1,1,1,8,5,1,1,18
74,1,1,1,8,5,1,1,18
75,1,1,1,8,5,1,1,18
76,1,1,1,8,5,0,0,16
77,1,1,1,9,5,0,0,17
78,1,1,1,9,4,0,0,16
79,1,1,1,9,4,0,0,16
80,1,1,1,9,5,0,0,17
81,1,1,1,9,5,0,0,17
82,1,1,1,10,5,0,0,18
83,1,1,1,10,5,0,0,18
84,1,1,1,10,5,0,0,18
85,1,1,1,10,6,0,0,19
86,1,1,1,10,6,0,0,19
87,1,1,1,11,6,0,0,20
88,1,1,1,11,6,0,0,20
89,0,0,0,11,7,0,0,18
90,0,0,0,11,7,0,0,18
91,0,0,0,11,7,0,0,18
92,0,0,0,12,7,0,0,19
93,0,0,1,12,8,0,0,21
94,0,0,1,12,8,0,0,21
95,0,0,1,12,8,0,0,21
96,0,0,1,12,8,0,0,21
97,1,1,1,12,8,0,0,23
98,1,1,1,12,8,1,0,24
99,1,1,1,12,8,1,0,24
100,1,1,1,12,8,1,0,24
101,1,1,1,12,8,1,1,25
102,1,1,1,11,7,1,1,23
103,1,1,1,11,7,1,1,23
104,1,1,1,11,7,1,1,23
105,1,1,1,10,6,1,1,21
106,1,1,1,10,6,1,1,21
107,1,1,1,10,6,1,1,21
108,1,1,1,10,5,1,1,20
109,1,1,1,10,5,1,1,20
110,1,1,1,10,5,1,0,19
111,1,1,1,10,4,1,0,18
112,1,1,1,10,4,1,0,18
113,1,1,1,10,4,1,0,18
114,1,1,1,10,3,1,0,17
115,1,1,1,10,3,0,0,16
116,1,1,1,10,3,0,0,16
117,1,1,1,10,2,0,0,15
118,1,1,1,10,2,0,0,15
119,1,1,1,10,2,0,0,15
120,1,1,1,11,2,0,0,16
121,1,1,1,11,2,0,0,16
122,1,1,1,11,2,0,0,16
123,1,1,2,11,2,0,0,17
124,1,1,2,11,2,0,0,17
125,1,2,2,11,3,0,0,19
126,1,2,2,11,3,1,0,20
127,1,2,2,11,3,1,0,20
128,0,1,1,11,3,1,0,17
129,0,1,1,11,3,1,0,17
130,0,1,1,11,3,1,0,17
131,0,0,0,11,3,1,0,15
132,0,0,0,11,3,1,0,15
133,1,0,0,11,3,1,1,17
134,1,0,0,11,3,1,1,17
135,1,0,0,11,3,1,1,17
136,1,0,0,11,3,1,1,17
137,1,0,0,11,3,1,1,17
138,1,0,0,11,3,1,1,17
139,1,0,0,11,3,1,1,17
140,1,0,0,11,3,1,1,17
141,1,0,0,10,2,1,1,15
142,1,0,0,10,2,1,0,14
143,1,0,0,10,2,1,0,14
144,1,0,0,9,1,1,0,12
145,1,0,0,9,1,1,0,12
146,1,0,0,9,1,1,0,12
147,1,0,0,9,0,1,0,11
148,1,0,0,9,0,1,0,11
149,1,0,0,9,0,1,0,11
150,1,0,0,10,0,1,0,12
