step,A1,A2,A3,B1,B2,C1,C2,total
1,2,2,2,2,0,2,2,12
2,2,2,2,3,0,2,2,13
3,3,2,2,3,0,3,3,16
4,3,2,3,3,1,3,3,18
5,3,2,3,3,1,3,3,18
6,3,2,3,3,1,3,3,18
7,3,2,3,3,1,3,3,18
8,3,2,3,3,1,3,3,18
9,3,2,3,3,1,3,3,18
10,3,2,3,3,1,3,3,18
11,2,1,2,3,1,3,3,15
12,2,1,2,3,1,3,3,15
13,2,1,2,3,1,3,3,15
14,1,0,1,3,1,3,3,12
15,1,0,1,3,1,3,3,12
16,1,0,1,3,1,3,3,12
17,0,0,0,3,1,3,3,10
18,0,0,0,3,1,3,3,10
19,0,0,0,3,1,3,3,10
20,0,0,0,3,1,3,3,10
21,0,0,0,3,1,3,3,10
22,0,0,0,3,1,3,3,10
23,0,0,0,3,1,3,3,10
24,0,0,0,3,1,3,3,10
25,0,0,0,3,1,3,3,10
26,0,0,0,3,1,3,3,10
27,0,0,0,2,0,3,2,7
28,0,0,0,2,0,3,2,7
29,0,0,0,2,0,3,2,7
30,0,0,0,1,0,3,1,5
31,1,1,0,1,0,3,1,7
32,1,1,1,1,0,3,1,8
33,1,1,1,0,0,4,1,8
34,1,1,1,0,0,4,1,8
35,1,1,1,0,0,4,1,8
36,2,2,1,0,0,4,0,9
37,2,2,2,0,0,4,0,10
38,2,2,2,1,0,4,0,11
39,2,2,2,1,0,4,0,11
40,2,2,2,1,1,4,0,12
41,3,3,3,1,1,4,0,15
42,3,3,3,1,1,4,0,15
43,3,3,3,1,1,4,0,15
44,3,3,3,1,1,4,0,15
45,4,4,3,1,1,4,0,17
46,4,4,4,1,1,4,0,18
47,4,4,4,1,1,3,0,17
48,4,4,4,1,1,3,0,17
49,4,5,4,1,0,3,0,17
50,5,5,5,1,0,2,0,18
51,5,5,5,1,0,2,0,18
52,5,5,5,1,0,2,0,18
53,5,5,5,1,0,2,0,18
54,6,6,5,1,0,2,0,20
55,6,6,6,1,0,2,0,21
56,6,6,6,1,0,2,0,21
57,6,6,6,1,0,2,0,21
58,6,7,6,1,0,2,0,22
59,7,7,6,1,0,2,0,23
60,7,7,6,1,0,2,0,23
61,6,6,5,1,0,2,0,20
62,6,6,5,2,1,2,0,22
63,6,6,6,2,1,3,0,24
64,5,5,5,2,1,3,0,21
65,5,5,5,2,1,3,0,21
66,5,5,5,2,1,3,0,21
67,4,4,4,2,1,3,1,19
68,4,4,4,2,1,3,1,19
69,4,4,4,2,1,3,1,19
70,3,3,3,3,2,3,1,18
71,3,3,3,3,2,3,1,18
72,3,3,3,3,2,3,1,18
73,2,2,2,3,2,3,1,15
74,2,2,2,3,2,3,1,15
75,2,2,2,3,2,3,1,15
76,2,2,2,3,3,3,1,16
77,2,2,2,3,3,3,1,16
78,2,2,2,4,3,3,1,17
79,2,2,2,4,3,3,1,17
80,2,2,2,4,3,3,1,17
81,2,2,2,4,3,3,1,17
82,2,2,2,4,4,3,1,18
83,2,2,2,3,3,3,0,15
84,2,2,2,3,3,3,0,15
85,2,2,2,3,3,3,0,15
86,2,2,2,3,2,3,0,14
87,2,2,2,3,2,3,0,14
88,2,3,2,3,2,3,0,15
89,2,3,2,3,2,3,0,15
90,2,3,2,3,2,3,0,15
91,2,3,2,3,2,4,1,17
92,2,3,2,3,1,4,1,16
93,2,3,3,3,1,4,1,17
94,2,3,3,3,1,4,1,17
95,3,3,3,3,0,4,1,17
96,3,3,3,3,0,4,1,17
97,3,3,3,3,0,3,1,16
98,3,3,3,3,0,3,1,16
99,3,3,3,3,0,4,2,18
100,3,3,3,3,0,3,1,16
101,3,3,3,3,0,3,1,16
102,3,3,3,3,0,3,1,16
103,3,3,3,3,0,3,1,16
104,3,3,3,3,0,3,1,16
105,3,3,3,3,0,3,1,16
106,3,3,3,4,0,3,1,17
107,3,3,3,4,0,4,2,19
108,3,3,3,4,0,4,2,19
109,3,3,3,4,0,4,2,19
110,2,2,2,4,0,4,2,16
111,2,2,2,4,0,4,2,16
112,2,2,2,4,0,4,2,16
113,1,1,1,4,0,4,2,13
114,1,1,1,4,0,4,3,14
115,1,1,1,4,0,5,3,15
116,0,0,0,4,0,5,3,12
117,0,0,0,4,0,5,3,12
118,0,0,0,4,0,5,3,12
119,0,0,0,4,0,5,3,12
120,0,0,0,4,0,5,3,12
121,0,0,0,4,0,5,3,12
122,0,0,0,4,0,5,3,12
123,0,0,0,4,0,5,3,12
124,0,1,0,4,0,5,3,13
125,1,1,0,4,1,5,3,15
126,1,1,0,4,1,5,3,15
127,1,1,0,4,1,5,3,15
128,1,1,0,4,1,5,4,16
129,1,1,1,3,1,5,3,15
130,1,1,1,3,1,6,3,16
131,1,1,1,3,1,6,3,16
132,1,1,1,2,1,6,2,14
133,1,1,1,2,1,6,2,14
134,1,1,1,2,0,6,2,13
135,1,1,1,1,0,6,1,11
136,1,1,1,2,0,6,1,12
137,1,1,1,2,0,6,1,12
138,1,1,1,2,0,6,0,11
139,1,1,1,2,0,6,0,11
140,1,1,1,2,0,6,0,11
141,1,1,1,2,0,6,0,11
142,1,1,1,2,0,6,0,11
143,1,1,1,2,0,6,0,11
144,1,1,1,2,0,6,0,11
145,1,1,1,2,0,6,0,11
146,1,1,1,2,0,5,0,10
147,1,1,1,2,0,5,0,10
148,1,1,1,2,0,5,0,10
149,1,1,1,2,0,4,0,9
150,1,1,1,2,0,4,0,9
