step,A1,A2,A3,B1,B2,C1,C2,total
1,0,0,2,2,1,2,1,8
2,0,1,2,2,1,3,1,10
3,0,1,3,2,1,3,1,11
4,0,1,3,2,2,3,2,13
5,1,1,3,2,2,3,2,14
6,1,1,3,2,2,3,2,14
7,1,1,3,2,2,3,2,14
8,1,1,3,2,2,3,2,14
9,1,1,3,2,2,3,2,14
10,1,1,3,2,2,3,2,14
11,1,0,2,2,2,3,2,12
12,1,0,2,2,2,3,2,12
13,1,0,2,2,2,3,2,12
14,1,0,2,2,2,3,2,12
15,1,0,2,2,2,3,2,12
16,1,0,2,2,2,3,2,12
17,1,0,2,2,2,3,2,12
18,1,0,2,2,2,3,2,12
19,1,0,2,2,2,3,2,12
20,1,0,2,2,2,3,2,12
21,1,0,2,2,2,3,2,12
22,1,0,2,2,2,3,2,12
23,1,0,2,1,1,3,1,9
24,1,0,2,1,1,3,1,9
25,1,0,2,1,1,3,1,9
26,1,0,2,0,0,3,0,6
27,1,0,2,0,0,3,0,6
28,1,0,2,0,0,3,0,6
29,1,0,2,1,0,3,0,7
30,1,1,2,1,0,4,0,9
31,1,1,3,1,0,4,0,10
32,1,1,3,1,0,4,0,10
33,1,1,3,1,0,4,0,10
34,1,1,3,1,0,4,0,10
35,1,1,3,1,0,4,0,10
36,1,1,3,1,1,4,0,11
37,1,1,3,1,1,4,1,12
38,1,1,3,1,1,4,1,12
39,1,1,3,1,1,3,1,11
40,1,1,3,1,1,4,1,12
41,2,1,3,1,1,4,1,13
42,2,1,3,1,1,3,2,13
43,2,1,3,1,1,3,2,13
44,2,1,3,1,1,3,2,13
45,2,1,3,1,1,4,2,14
46,2,1,3,1,1,4,2,14
47,2,1,3,1,1,4,3,15
48,2,1,3,1,1,4,3,15
49,2,1,3,1,1,4,3,15
50,2,1,3,1,1,5,3,16
51,2,1,3,1,1,5,3,16
52,2,1,3,1,1,5,4,17
53,1,0,2,1,1,5,4,14
54,1,0,2,1,1,5,4,14
55,1,0,2,1,1,6,4,15
56,0,0,1,1,1,6,4,13
57,0,0,1,1,1,6,5,14
58,0,0,1,1,1,6,5,14
59,0,0,0,2,1,7,5,15
60,0,0,0,2,1,7,5,15
61,0,0,0,2,1,7,6,16
62,0,1,0,2,1,7,6,17
63,0,1,0,2,1,7,6,17
64,0,1,0,2,2,8,6,19
65,0,1,0,2,2,8,6,19
66,0,1,0,2,2,8,7,20
67,0,1,1,2,2,8,7,21
68,0,1,1,2,2,8,7,21
69,0,1,1,1,1,9,6,19
70,0,1,1,1,1,9,6,19
71,1,1,1,1,1,9,7,21
72,1,1,1,0,0,9,6,18
73,1,1,1,0,0,9,6,18
74,1,1,1,0,0,10,6,19
75,1,1,1,0,0,10,6,19
76,1,1,1,0,0,10,6,19
77,1,1,1,0,0,10,6,19
78,1,1,1,0,0,10,5,18
79,1,1,1,0,0,11,5,19
80,1,1,1,0,0,11,6,20
81,1,1,1,0,0,11,5,19
82,1,1,1,0,0,11,5,19
83,1,1,1,0,0,11,5,19
84,1,1,1,0,0,12,4,19
85,1,1,1,0,0,12,5,20
86,1,1,1,0,0,12,5,20
87,1,1,1,1,0,11,4,19
88,1,1,1,1,0,12,4,20
89,1,1,1,1,0,12,4,20
90,1,2,1,1,0,11,4,20
91,1,2,1,1,0,11,4,20
92,1,2,1,1,0,11,4,20
93,1,2,1,1,0,11,3,19
94,1,2,1,1,0,11,3,19
95,1,2,1,1,0,11,3,19
96,1,2,1,1,0,10,2,17
97,1,2,1,1,0,10,2,17
98,1,2,1,1,1,10,2,18
99,2,2,1,1,1,10,2,19
100,2,2,1,1,1,10,2,19
101,2,2,2,1,1,10,3,21
102,2,2,2,1,1,10,3,21
103,2,2,2,1,1,10,3,21
104,2,2,2,1,1,10,3,21
105,2,2,2,1,1,10,3,21
106,2,2,2,1,1,10,3,21
107,2,2,2,1,1,10,3,21
108,1,1,1,1,1,10,3,18
109,1,1,1,1,1,10,3,18
110,1,1,1,1,1,10,3,18
111,1,1,1,1,1,10,3,18
112,1,1,1,1,1,10,3,18
113,1,1,1,1,1,10,3,18
114,1,1,1,1,1,10,3,18
115,1,1,1,1,1,10,3,18
116,1,1,1,1,1,10,3,18
117,1,1,1,1,1,10,3,18
118,1,1,1,1,1,10,3,18
119,1,1,1,0,0,10,2,15
120,1,1,1,0,0,10,2,15
121,1,1,1,1,0,10,2,16
122,1,2,1,1,0,10,1,16
123,1,2,1,1,0,10,1,16
124,1,2,1,1,0,10,1,16
125,1,2,1,1,0,11,0,16
126,1,2,1,1,0,11,0,16
127,1,2,1,1,0,11,0,16
128,1,2,1,1,1,11,0,17
129,1,2,1,1,1,11,1,18
130,1,2,1,1,1,11,1,18
131,1,2,1,1,1,11,1,18
132,1,2,1,1,1,10,1,17
133,1,2,2,1,1,10,1,18
134,1,2,2,1,1,10,1,18
135,2,2,2,1,1,9,1,18
136,2,2,2,1,1,9,1,18
137,2,2,2,1,0,9,1,17
138,2,2,2,1,0,8,0,15
139,2,2,2,1,0,8,0,15
140,2,2,2,1,0,8,0,15
141,2,2,2,1,0,7,0,14
142,2,2,2,1,0,7,0,14
143,2,2,2,1,0,7,0,14
144,2,2,2,1,0,7,0,14
145,2,2,2,1,0,7,0,14
146,2,2,2,1,0,7,0,14
147,2,2,2,1,0,7,0,14
148,2,2,2,1,0,7,0,14
149,2,2,2,1,0,7,0,14
150,2,2,2,1,0,7,0,14
