step,A1,A2,A3,B1,B2,C1,C2,total
1,1,1,2,0,2,2,3,11
2,1,1,2,0,2,2,3,11
3,1,1,2,1,3,2,3,13
4,2,1,3,1,3,2,3,15
5,2,2,3,1,3,2,3,16
6,2,2,3,1,3,2,3,16
7,2,2,3,1,3,2,3,16
8,2,2,3,1,3,2,3,16
9,2,2,3,1,3,2,3,16
10,2,2,3,1,3,2,3,16
11,1,1,2,1,3,2,3,13
12,1,1,2,1,3,2,3,13
13,1,1,2,1,3,2,3,13
14,0,0,1,1,3,2,3,10
15,0,0,1,1,3,2,3,10
16,0,0,1,1,3,2,3,10
17,0,0,1,1,3,2,3,10
18,0,0,1,1,3,2,3,10
19,0,0,1,1,3,2,3,10
20,0,0,1,1,3,2,3,10
21,0,0,1,1,3,2,3,10
22,0,0,1,1,3,2,3,10
23,0,0,1,1,3,2,3,10
24,0,0,1,1,3,2,3,10
25,0,0,1,0,2,2,2,7
26,0,0,1,0,2,2,2,7
27,0,0,1,0,2,2,2,7
28,0,0,1,0,1,2,1,5
29,0,0,1,0,1,2,2,6
30,0,0,1,0,1,2,2,6
31,0,0,1,1,0,2,1,5
32,0,0,1,1,0,2,1,5
33,0,1,1,1,0,2,1,6
34,1,1,2,1,0,2,0,7
35,1,1,2,1,1,2,0,8
36,1,1,2,1,1,3,0,9
37,1,1,2,1,1,3,0,9
38,1,1,2,1,1,3,1,10
39,1,1,2,1,1,3,1,10
40,1,1,2,1,1,3,1,10
41,1,1,2,1,1,3,2,11
42,1,1,2,1,1,3,2,11
43,1,1,2,1,1,3,2,11
44,1,1,2,1,0,4,3,12
45,1,1,2,1,0,3,3,11
46,1,1,2,1,0,3,3,11
47,1,1,2,1,0,3,3,11
48,1,1,2,1,0,2,3,10
49,1,1,2,1,0,2,3,10
50,1,1,2,1,0,2,4,11
51,1,1,2,1,0,2,4,11
52,1,1,2,1,0,3,4,12
53,1,1,2,1,0,3,5,13
54,1,1,2,1,0,3,5,13
55,1,1,2,1,0,3,5,13
56,1,1,2,1,0,3,6,14
57,1,1,2,1,0,3,6,14
58,0,0,1,1,0,3,6,11
59,0,0,1,1,0,4,6,12
60,0,0,1,1,0,4,7,13
61,0,0,0,1,0,4,7,12
62,0,0,0,1,0,4,7,12
63,0,1,0,2,1,4,8,16
64,0,1,0,2,1,4,8,16
65,0,1,0,2,1,4,8,16
66,0,1,0,2,1,5,9,18
67,0,1,0,2,1,5,9,18
68,0,1,1,2,1,5,9,19
69,0,1,1,2,1,5,9,19
70,1,1,1,2,1,5,10,21
71,1,1,1,2,1,5,10,21
72,1,1,1,1,0,5,9,18
73,1,1,1,1,0,6,10,20
74,1,1,1,1,0,6,10,20
75,1,1,1,0,0,6,9,18
76,1,1,1,0,0,6,10,19
77,1,1,1,0,0,6,10,19
78,1,1,1,0,0,6,9,18
79,1,1,1,0,0,6,9,18
80,1,1,1,0,0,6,10,19
81,1,1,1,0,0,7,9,19
82,1,1,1,0,0,7,9,19
83,1,1,1,0,0,7,9,19
84,1,1,1,0,0,7,9,19
85,1,1,1,0,0,7,9,19
86,1,1,1,0,0,7,9,19
87,1,1,1,0,0,7,8,18
88,1,1,1,0,0,8,9,20
89,1,1,1,0,0,8,9,20
90,1,1,1,0,0,8,8,19
91,1,2,1,0,0,7,9,20
92,1,2,1,0,0,7,9,20
93,1,2,1,1,0,7,8,20
94,1,2,1,1,0,6,9,20
95,1,2,1,1,0,7,9,21
96,1,2,1,1,0,7,8,20
97,1,2,1,1,1,6,8,20
98,1,2,1,1,1,6,9,21
99,1,2,1,1,1,6,8,20
100,1,2,2,1,1,5,8,20
101,1,2,2,1,1,5,9,21
102,1,2,2,1,1,5,8,20
103,1,2,2,1,1,6,8,21
104,2,2,2,1,1,6,8,22
105,2,2,2,1,1,6,8,22
106,2,2,2,1,1,6,8,22
107,2,2,2,1,1,6,8,22
108,2,2,2,1,1,6,9,23
109,2,2,2,1,1,6,9,23
110,2,2,2,1,1,6,9,23
111,2,2,2,1,1,6,9,23
112,1,1,1,1,1,6,9,20
113,1,1,1,1,1,6,9,20
114,1,1,1,1,1,6,9,20
115,1,1,1,1,1,6,9,20
116,1,1,1,1,1,6,9,20
117,1,1,1,1,1,6,9,20
118,1,1,1,1,1,6,9,20
119,1,1,1,1,1,6,9,20
120,1,1,1,1,1,6,9,20
121,1,1,1,1,1,6,9,20
122,1,1,1,1,1,6,9,20
123,1,1,1,1,1,6,9,20
124,1,1,1,0,0,6,8,17
125,1,2,1,1,1,6,8,20
126,1,2,1,1,1,6,8,20
127,1,2,1,0,0,6,7,17
128,1,2,1,0,0,6,7,17
129,1,2,1,0,0,6,7,17
130,1,2,1,0,0,6,6,16
131,1,2,1,0,0,6,6,16
132,1,2,1,0,0,6,6,16
133,1,2,1,0,0,6,5,15
134,1,2,1,0,0,6,5,15
135,1,2,1,0,0,6,5,15
136,1,2,2,0,0,7,4,16
137,1,2,2,0,0,7,4,16
138,1,2,2,0,0,7,5,17
139,1,2,2,0,0,7,4,16
140,2,2,2,0,0,7,4,17
141,2,2,2,0,0,7,4,17
142,2,2,2,0,0,7,3,16
143,2,2,2,0,0,6,3,15
144,2,2,2,0,0,6,3,15
145,2,2,2,0,0,6,2,14
146,2,2,2,0,0,5,2,13
147,2,2,2,0,0,5,2,13
148,2,2,2,0,0,5,1,12
149,2,2,2,0,0,4,1,11
150,2,2,2,0,0,4,1,11
151,2,2,2,0,0,4,0,10
152,2,2,2,0,0,3,0,9
153,2,2,2,0,0,3,0,9
154,2,2,2,0,0,3,0,9
155,2,2,2,0,0,3,0,9
156,2,2,2,0,0,3,0,9
157,2,2,2,0,0,3,0,9
158,2,2,2,0,0,3,0,9
159,2,2,2,1,1,3,0,11
160,2,2,2,1,1,3,0,11
161,2,3,2,1,1,3,0,12
162,2,3,2,1,1,3,0,12
163,2,3,2,1,1,3,0,12
164,1,2,1,1,1,3,0,9
165,1,2,1,1,1,3,0,9
166,1,2,1,1,1,3,1,10
167,0,1,0,1,1,3,1,7
168,0,1,0,1,1,4,1,8
169,0,1,0,1,1,4,1,8
170,0,0,1,1,1,4,1,8
171,0,0,1,1,1,4,1,8
