step,A1,A2,A3,B1,B2,C1,C2,total
1,0,0,2,2,1,2,1,8
2,0,1,2,2,1,3,1,10
3,0,1,3,2,1,3,1,11
4,0,1,3,2,2,3,2,13
5,1,1,3,2,2,3,2,14
6,1,1,3,2,2,3,2,14
7,1,1,3,2,2,3,2,14
8,1,1,3,2,2,3,2,14
9,1,1,3,2,2,3,2,14
10,1,1,3,2,2,3,2,14
11,1,0,2,2,2,3,2,12
12,1,0,2,2,2,3,2,12
13,1,0,2,2,2,3,2,12
14,0,0,1,2,2,3,2,10
15,0,0,1,2,2,3,2,10
16,0,0,1,2,2,3,2,10
17,0,0,1,2,2,3,2,10
18,0,0,1,2,2,3,2,10
19,0,0,1,2,2,3,2,10
20,0,0,1,2,2,3,2,10
21,0,0,1,2,2,3,2,10
22,0,0,1,2,2,3,2,10
23,0,0,1,2,2,3,2,10
24,0,0,1,1,1,3,1,7
25,0,0,1,1,1,3,1,7
26,0,0,1,1,1,3,1,7
27,0,0,1,0,0,3,0,4
28,0,0,1,0,0,3,0,4
29,0,0,1,1,0,3,0,5
30,0,1,1,1,0,4,0,7
31,0,1,2,1,0,4,0,8
32,0,1,2,1,0,4,0,8
33,0,1,2,1,0,4,0,8
34,0,1,2,1,0,4,0,8
35,0,1,2,1,0,4,0,8
36,0,1,2,1,1,4,0,9
37,0,1,2,1,1,3,1,9
38,0,1,2,1,1,3,1,9
39,0,1,2,1,1,3,1,9
40,0,1,2,1,1,3,1,9
41,1,1,2,1,1,3,1,10
42,1,1,2,1,1,3,2,11
43,1,1,2,1,1,3,2,11
44,1,1,2,1,1,3,2,11
45,1,1,2,1,1,4,2,12
46,1,1,2,1,1,4,2,12
47,1,1,2,1,1,4,3,13
48,1,1,2,1,1,4,3,13
49,1,1,2,1,1,4,3,13
50,0,0,1,1,1,5,3,11
51,0,0,1,1,1,5,3,11
52,0,0,1,1,1,5,4,12
53,0,0,0,1,1,5,4,11
54,0,0,0,1,1,5,4,11
55,0,0,0,1,1,6,4,12
56,0,0,0,1,1,6,4,12
57,0,0,0,1,1,6,5,13
58,0,0,0,1,1,6,5,13
59,0,0,0,2,1,7,5,15
60,0,0,0,2,1,7,5,15
61,0,0,0,2,1,7,6,16
62,0,1,0,2,1,7,6,17
63,0,1,0,1,0,7,5,14
64,0,1,0,1,1,8,5,16
65,0,1,0,1,1,8,5,16
66,0,1,0,0,0,8,5,14
67,0,1,1,0,0,8,5,15
68,0,1,1,0,0,8,5,15
69,0,1,1,0,0,9,4,15
70,0,1,1,0,0,9,4,15
71,1,1,1,0,0,9,5,17
72,1,1,1,0,0,9,4,16
73,1,1,1,0,0,9,4,16
74,1,1,1,0,0,10,4,17
75,1,1,1,0,0,10,4,17
76,1,1,1,0,0,9,4,16
77,1,1,1,0,0,9,4,16
78,1,1,1,0,0,9,3,15
79,1,1,1,0,0,9,3,15
80,1,1,1,0,0,9,4,16
81,1,1,1,0,0,9,4,16
82,1,1,1,0,0,9,4,16
83,1,1,1,0,0,9,4,16
84,1,1,1,0,0,10,4,17
85,1,1,1,0,0,10,5,18
86,1,1,1,0,0,10,5,18
87,1,1,1,1,0,10,5,19
88,1,1,1,1,0,11,5,20
89,0,0,0,1,0,11,5,17
90,0,1,0,1,0,11,6,19
91,0,1,0,1,0,11,6,19
92,0,0,0,1,0,11,6,18
93,0,0,0,1,0,12,6,19
94,0,0,0,1,0,12,6,19
95,0,0,0,1,0,12,6,19
96,0,0,0,1,0,12,6,19
97,0,0,0,1,0,12,6,19
98,0,0,0,1,1,12,6,20
99,1,0,0,1,1,12,6,21
100,1,0,0,1,1,12,6,21
101,1,0,1,1,1,12,7,23
102,1,0,1,0,1,12,6,21
103,1,0,1,0,1,12,6,21
104,1,0,1,0,1,12,6,21
105,1,0,1,0,1,12,5,20
106,1,0,1,0,1,12,5,20
107,1,0,1,0,0,12,5,19
108,1,0,1,0,0,12,4,18
109,1,0,1,0,0,12,4,18
110,1,0,1,0,0,12,4,18
111,1,0,1,0,0,12,3,17
112,1,0,1,0,0,12,3,17
113,1,0,1,0,0,12,3,17
114,1,0,1,0,0,12,2,16
115,1,0,1,0,0,11,2,15
116,1,0,1,0,0,11,2,15
117,1,0,1,0,0,11,1,14
118,1,0,1,0,0,10,1,13
119,1,0,1,0,0,10,1,13
120,1,0,1,0,0,10,1,13
121,1,0,1,1,0,10,1,14
122,1,1,1,1,0,10,1,15
123,1,1,1,1,0,10,1,15
124,1,1,1,1,0,10,1,15
125,1,1,1,1,0,11,1,16
126,1,1,1,1,0,11,1,16
127,1,1,1,1,0,11,1,16
128,0,1,0,1,1,11,1,15
129,0,1,0,1,1,11,2,16
130,0,1,0,1,1,11,2,16
131,0,0,0,1,1,11,2,15
132,0,0,0,1,1,11,2,15
133,0,0,1,1,1,11,2,16
134,0,0,1,1,1,11,2,16
135,1,0,1,1,1,11,2,17
136,1,0,1,1,1,11,2,17
137,1,0,1,1,1,11,2,17
138,1,0,1,1,1,11,2,17
139,1,0,1,1,1,11,2,17
140,1,0,1,1,1,11,2,17
141,1,0,1,0,0,11,1,14
142,1,0,1,0,0,11,1,14
143,1,0,1,0,0,11,1,14
144,1,0,1,0,0,11,0,13
145,1,0,1,0,0,11,0,13
146,1,0,1,0,0,11,0,13
147,1,0,1,0,0,11,0,13
148,1,0,1,0,0,11,0,13
149,1,0,1,0,0,11,0,13
150,1,0,1,0,0,11,0,13
