step,A1,A2,A3,B1,B2,C1,C2,total
1,2,1,3,0,0,0,3,9
2,2,2,3,0,0,0,3,10
3,3,2,3,1,0,1,3,13
4,3,2,3,1,0,1,3,13
5,3,2,3,1,1,1,3,14
6,3,2,3,1,1,1,3,14
7,3,2,3,1,1,1,3,14
8,3,2,3,1,1,1,3,14
9,3,2,3,1,1,1,3,14
10,3,2,3,1,1,1,3,14
11,2,1,2,1,1,1,3,11
12,2,1,2,1,1,1,3,11
13,2,1,2,1,1,1,3,11
14,1,0,1,1,1,1,3,8
15,1,0,1,1,1,1,3,8
16,1,0,1,1,1,1,3,8
17,0,0,0,1,1,1,3,6
18,0,0,0,1,1,1,3,6
19,0,0,0,1,1,1,3,6
20,0,0,0,1,1,1,3,6
21,0,0,0,1,1,1,3,6
22,0,0,0,1,1,1,3,6
23,0,0,0,1,1,1,3,6
24,0,0,0,1,1,1,3,6
25,0,0,0,1,1,1,3,6
26,0,0,0,1,1,1,3,6
27,0,0,0,1,1,1,3,6
28,0,0,0,1,1,1,3,6
29,0,0,0,1,1,1,3,6
30,0,0,0,0,0,1,2,3
31,0,0,0,0,0,1,2,3
32,0,0,0,0,0,1,2,3
33,0,0,1,0,1,1,2,5
34,1,1,1,0,1,1,2,7
35,1,1,1,1,1,1,2,8
36,1,1,1,1,1,1,1,7
37,1,1,1,1,1,2,1,8
38,1,2,1,1,1,2,1,9
39,1,2,1,1,1,2,0,8
40,1,2,2,1,1,2,0,9
41,2,2,2,1,1,2,0,10
42,2,3,2,1,0,2,0,10
43,2,3,2,1,0,2,0,10
44,2,3,2,1,0,2,0,10
45,2,3,2,1,0,2,0,10
46,2,3,2,1,0,2,0,10
47,2,4,2,1,0,2,0,11
48,2,4,3,1,0,1,0,11
49,3,4,3,1,0,1,0,12
50,3,4,3,1,0,1,0,12
51,3,5,3,1,0,0,0,12
52,3,5,3,1,0,0,0,12
53,3,5,3,1,0,0,0,12
54,3,5,3,1,0,0,0,12
55,3,5,4,1,0,0,0,13
56,3,6,4,1,0,0,0,14
57,4,6,4,1,0,0,0,15
58,4,6,4,1,0,0,0,15
59,4,6,4,1,0,0,0,15
60,4,7,4,1,0,0,0,16
61,4,7,4,1,0,0,0,16
62,4,7,4,1,0,0,0,16
63,3,6,4,1,0,0,1,15
64,4,6,4,1,0,0,1,16
65,4,7,4,1,0,0,1,17
66,3,6,3,1,0,0,1,14
67,3,6,3,1,0,0,1,14
68,3,6,3,1,0,0,1,14
69,2,5,2,1,1,0,1,12
70,2,6,3,1,1,0,1,14
71,2,6,3,2,1,0,1,15
72,2,5,2,2,1,0,1,13
73,2,5,2,2,1,1,1,14
74,2,5,2,2,1,1,1,14
75,1,5,1,2,1,1,1,12
76,1,5,1,2,1,1,1,12
77,1,5,2,2,1,1,1,13
78,1,5,2,2,1,1,1,13
79,2,5,2,2,1,1,1,14
80,2,6,2,2,1,1,1,15
81,2,6,2,2,1,1,1,15
82,2,6,2,2,1,1,1,15
83,2,6,2,2,1,1,1,15
84,2,7,2,2,1,1,1,16
85,3,7,3,1,0,1,0,15
86,3,7,3,1,0,1,0,15
87,3,7,3,1,0,1,0,15
88,3,7,3,0,0,1,0,14
89,3,8,3,0,0,1,0,15
90,3,8,3,0,0,1,0,15
91,3,8,3,0,0,1,0,15
92,3,8,3,0,0,1,0,15
93,4,8,3,0,0,1,0,16
94,4,9,4,0,0,1,0,18
95,4,9,4,0,0,1,1,19
96,4,9,4,0,0,1,1,19
97,4,9,4,0,0,1,1,19
98,4,9,4,0,0,0,1,18
99,4,10,4,0,0,0,1,19
100,4,10,4,0,0,0,1,19
101,5,10,5,1,1,1,1,24
102,5,10,5,1,1,1,1,24
103,5,10,5,1,1,1,1,24
104,5,11,5,1,1,1,1,25
105,5,11,5,1,1,1,1,25
106,5,11,5,1,1,1,1,25
107,5,11,5,1,1,1,1,25
108,5,11,5,1,1,1,1,25
109,5,11,5,1,1,1,1,25
110,5,11,5,1,1,1,1,25
111,4,10,4,1,1,1,1,22
112,4,10,4,1,1,1,1,22
113,4,11,4,1,1,1,1,23
114,3,10,3,1,1,1,1,20
115,3,10,3,1,1,1,1,20
116,3,10,3,1,1,1,1,20
117,2,9,2,1,1,1,1,17
118,2,9,2,1,1,1,1,17
119,2,9,2,1,1,1,1,17
120,1,8,1,1,1,1,1,14
121,1,8,1,1,1,1,1,14
122,1,8,1,1,1,1,1,14
123,2,8,2,1,1,1,1,16
124,2,8,2,1,1,1,1,16
125,2,8,2,1,1,1,2,17
126,2,8,2,1,1,1,2,17
127,2,8,2,1,1,1,2,17
128,2,8,2,1,1,1,2,17
129,2,8,2,1,1,1,2,17
130,2,8,2,0,0,1,1,14
131,2,8,2,0,0,1,1,14
132,2,8,2,0,0,1,1,14
133,2,8,2,1,1,2,0,16
134,2,8,2,1,1,2,0,16
135,2,8,2,1,1,2,0,16
136,2,8,2,1,1,2,0,16
137,2,8,2,1,1,2,0,16
138,2,8,2,1,1,2,0,16
139,2,8,2,1,1,2,0,16
140,2,8,2,1,1,1,0,15
141,2,8,2,1,1,1,0,15
142,2,8,2,1,1,1,0,15
143,2,9,2,1,1,1,0,16
144,2,9,2,1,1,1,0,16
145,2,9,2,1,1,1,0,16
146,2,9,2,1,1,1,0,16
147,2,9,2,1,1,1,0,16
148,2,9,2,1,1,1,0,16
149,2,9,2,1,1,1,0,16
150,1,8,1,1,1,1,0,13
