model_id,hidden_layers,best_seed,train_acc_pct,test_acc_pct,full_acc_pct,train_loss,test_loss,full_loss
M1,20,102,94.66666666666667,92.36192714453584,93.74412041392286,0.128234408316659,0.21730832274473513,0.16388911552405683
M2,60,103,95.37254901960785,91.7743830787309,93.93226716839135,0.1087286545372769,0.23536617504093538,0.15941940270561852
M3,"80,40",101,98.90196078431373,93.41950646298473,96.7074317968015,0.040311900232188114,0.19798160382282737,0.1034242829674104
