model_id,hidden_layers,seed,train_acc_pct,test_acc_pct,full_acc_pct,train_loss,test_loss,full_loss
M1,20,101,94.98039215686275,91.53936545240893,93.60301034807149,0.12319911444157947,0.18939369550515425,0.1496956282622082
M1,20,102,94.66666666666667,92.36192714453584,93.74412041392286,0.128234408316659,0.21730832274473513,0.16388911552405683
M1,20,103,93.96078431372548,92.12690951821386,93.22671683913453,0.14215129714532226,0.2275038200214978,0.17631639438214328
M1,20,104,95.2156862745098,90.48178613396006,93.32079021636876,0.12767248358212266,0.23731609860973565,0.17156087121639754
M1,20,105,94.66666666666667,91.53936545240893,93.41486359360302,0.13199630184500824,0.2524384823677017,0.18020716594748534
M2,60,101,96.54901960784314,91.42185663924795,94.4967074317968,0.09664166895124843,0.18377288278809514,0.13151874666654245
M2,60,102,96.47058823529412,90.951821386604,94.26152398871119,0.0903932782773878,0.24696915537298392,0.15306781892244628
M2,60,103,95.37254901960785,91.7743830787309,93.93226716839135,0.1087286545372769,0.23536617504093538,0.15941940270561852
M2,60,104,96.78431372549021,90.24676850763808,94.16745061147695,0.08816167638582342,0.25443025586194196,0.15471602994980932
M2,60,105,97.25490196078431,91.7743830787309,95.06114769520225,0.0847902389776473,0.27105893013007354,0.15935028332225568
M3,"80,40",101,98.90196078431373,93.41950646298473,96.7074317968015,0.040311900232188114,0.19798160382282737,0.1034242829674104
M3,"80,40",102,98.74509803921569,91.42185663924795,95.8137347130762,0.03345820272816163,0.326934939625998,0.15093172338340324
M3,"80,40",103,97.6470588235294,93.30199764982373,95.90780809031044,0.058303117164155,0.22551423826265302,0.12523475573042794
M3,"80,40",104,98.11764705882354,91.42185663924795,95.43744120413923,0.04629708360807568,0.2969550923901921,0.1466310265721281
M3,"80,40",105,99.13725490196079,92.59694477085782,96.51928504233302,0.0298769556840553,0.34793770810154845,0.15719102167131635
